Cod_IBGE,Grande região,Município,Mun_Total de casos,Mun_Total de óbitos
3553955,Interior,Tarumã,1616,44
3554003,Interior,Tatuí,6017,409
3554102,Interior,Taubaté,25159,694
3554201,Interior,Tejupá,136,7
3554300,Interior,Teodoro Sampaio,2586,46
3554409,Interior,Terra Roxa,946,28
3554508,Interior,Tietê,3859,95
3554607,Interior,Timburi,125,6
3554656,Interior,Torre de Pedra,112,8
3554706,Interior,Torrinha,1285,18
3554755,Interior,Trabiju,158,2
3554805,Interior,Tremembé,2444,34
3554904,Interior,Três Fronteiras,749,27
3554953,Interior,Tuiuti,179,2
3555000,Interior,Tupã,6457,233
3555109,Interior,Tupi Paulista,1465,42
3555208,Interior,Turiúba,174,4
3555307,Interior,Turmalina,175,4
3555356,Interior,Ubarana,993,16
3555406,Interior,Ubatuba,6280,120
3555505,Interior,Ubirajara,470,7
3555604,Interior,Uchoa,1340,29
3555703,Interior,União Paulista,211,5
3555802,Interior,Urânia,1187,32
3555901,Interior,Uru,158,4
3556008,Interior,Urupês,795,35
3556107,Interior,Valentim Gentil,1898,61
3556206,Interior,Valinhos,12529,347
3556305,Interior,Valparaíso,2698,71
3556354,Interior,Vargem,179,7
3556404,Interior,Vargem Grande do Sul,2750,67
3556453,RMSP (exceto capital),Vargem Grande Paulista,2340,92
3556503,Interior,Várzea Paulista,7074,211
3556602,Interior,Vera Cruz,611,34
3556701,Interior,Vinhedo,8857,166
3556800,Interior,Viradouro,1802,79
3556909,Interior,Vista Alegre do Alto,818,12
3556958,Interior,Vitória Brasil,206,7
3557006,Interior,Votorantim,10018,437
3557105,Interior,Votuporanga,13125,398
3557154,Interior,Zacarias,242,9
3557204,Interior,Chavantes,957,36
3557303,Interior,Estiva Gerbi,721,30
